pit_tag_ref,site_id,population_type,capture_date,state,sex,length,weight,frog_type
061808035,72996,8,2005-07-25,healthy,m,55,17,4
061808035,72996,8,2007-07-30,healthy,m,57,16,4
061808035,72996,8,2009-08-16,healthy,m,57,18,4
061812081,72996,8,2005-07-25,healthy,m,52,14,4
061812081,72996,8,2005-08-29,healthy,m,51,16,4
061812081,72996,8,2008-09-13,healthy,m,56,16,4
061812081,72996,8,2009-07-05,healthy,m,54,15,4
061831355,72996,8,2005-07-25,healthy,f,55,16,4
061831355,72996,8,2006-07-17,healthy,f,56,13,4
062015770,72996,8,2005-07-25,healthy,m,52,18,4
062015770,72996,8,2005-09-21,healthy,m,56,18,4
062015770,72996,8,2007-07-30,healthy,m,57,18,4
062015770,72996,8,2007-08-29,healthy,m,58,17,4
062036610,72996,8,2005-07-25,healthy,m,42,7,4
062036610,72996,8,2005-08-29,healthy,m,46,9,4
062038782,72996,8,2005-07-25,healthy,m,41,7,4
062038782,72996,8,2005-08-29,healthy,m,45,9,4
062038782,72996,8,2006-07-17,healthy,m,48,8,4
062038782,72996,8,2007-06-18,healthy,m,47,10,4
062038782,72996,8,2008-06-26,healthy,m,51,10,4
062038782,72996,8,2008-08-20,healthy,m,48,12,4
062038782,72996,8,2008-09-13,healthy,m,49,12,4
062038782,72996,8,2009-08-16,healthy,m,52,15,4
062038782,72996,8,2009-09-16,healthy,m,52,18,4
062041857,72996,8,2005-07-25,healthy,f,42,8,4
062041857,72996,8,2005-09-21,healthy,f,48,10,4
062041857,72996,8,2006-07-17,healthy,f,49,10,4
062044007,72996,8,2005-07-25,healthy,m,48,12,4
062044007,72996,8,2005-08-29,healthy,m,48,14,4
062044007,72996,8,2006-07-17,healthy,m,49,10,4
062044007,72996,8,2006-08-20,healthy,m,51,13,4
062054541,72996,8,2005-07-25,healthy,m,48,12,4
062054541,72996,8,2005-09-21,healthy,m,49,13,4
062054541,72996,8,2006-07-17,healthy,m,51,10,4
062069378,72996,8,2005-07-25,healthy,f,60,22,4
062069378,72996,8,2005-09-21,healthy,f,59,21,4
062113832,72996,8,2005-07-25,healthy,m,49,12,4
