collect_siteid,release_siteid1,release_siteid2,release_date,type,pit_tag_ref
84221,84313,84235,2016-07-12,reintroduction,900067000060947
"21078,21081",20196,NA,2017-08-24,reintroduction,982000410163554
"21078,21081",20196,NA,2017-08-24,reintroduction,982000410163561
"21078,21081",20196,NA,2017-08-24,reintroduction,982000410163475
"21078,21081",20196,NA,2017-08-24,reintroduction,982000410163610
"21078,21081",20196,NA,2017-08-24,reintroduction,982000410163642
"21078,21081",20196,NA,2017-08-24,reintroduction,982000410163497
"21078,21081",20196,NA,2017-08-24,reintroduction,982000410163578
"21078,21081",20196,NA,2017-08-24,reintroduction,982000410163639
"21078,21081",20196,NA,2017-08-24,reintroduction,982000410163608
"21078,21081",20196,NA,2017-08-24,reintroduction,982000410163631
"21078,21081",20196,NA,2017-08-24,reintroduction,982000410163621
"21078,21081",20196,NA,2017-08-24,reintroduction,982000410163595
"21078,21081",20196,NA,2017-08-24,reintroduction,982000410163654
"21078,21081",20196,NA,2017-08-24,reintroduction,982000410163655
"21078,21081",20196,NA,2017-08-24,reintroduction,982000410163502
"21078,21081",20198,NA,2017-08-24,reintroduction,982000410163493
"21078,21081",20198,NA,2017-08-24,reintroduction,982000410163641
"21078,21081",20198,NA,2017-08-24,reintroduction,982000410163541
"21078,21081",20198,NA,2017-08-24,reintroduction,982000410163501
"21078,21081",20198,NA,2017-08-24,reintroduction,982000410163609
"21078,21081",20198,NA,2017-08-24,reintroduction,982000410163505
"21078,21081",20198,NA,2017-08-24,reintroduction,982000410163496
"21078,21081",20198,NA,2017-08-24,reintroduction,982000407484214
"21078,21081",20198,NA,2017-08-24,reintroduction,982000410163632
"21078,21081",20198,NA,2017-08-24,reintroduction,982000410163483
"21078,21081",20198,NA,2017-08-24,reintroduction,982000410163489
"21078,21081",20198,NA,2017-08-24,reintroduction,982000410163575
50783,50785,NA,2019-07-16,reintroduction,900067000089535
50783,50785,NA,2019-07-16,reintroduction,982126056337121
50783,50785,NA,2019-07-16,reintroduction,982126056334156
50783,50785,NA,2019-07-16,reintroduction,982126056334164
50783,50785,NA,2019-07-16,reintroduction,982126056337066
50783,50785,NA,2019-07-16,reintroduction,982126056334222
50783,50785,NA,2019-07-16,reintroduction,982126056334239
50783,50785,NA,2019-07-16,reintroduction,982126056334144
72996,70628,NA,2020-08-05,translocation,982126058790597
72996,70628,NA,2020-08-05,translocation,982126058790465
50783,50785,NA,2019-07-16,reintroduction,982126056337051
72996,70414,NA,2006-07-18,translocation,080050325
72996,70414,NA,2006-07-18,translocation,080055334
72996,70414,NA,2006-07-18,translocation,080055025
72996,70414,NA,2006-07-18,translocation,091057583
72996,70414,NA,2006-07-18,translocation,080058516
72996,70414,NA,2006-07-18,translocation,091336372
72996,70414,NA,2006-07-18,translocation,091114006
72996,70414,NA,2006-07-18,translocation,080052849
72996,70414,NA,2006-07-18,translocation,091529011
72996,70414,NA,2006-07-18,translocation,090871274
72996,70414,NA,2006-07-18,translocation,091025053
72996,70414,NA,2006-07-18,translocation,091025592
72996,70414,NA,2006-07-18,translocation,091104806
72996,70414,NA,2006-07-18,translocation,091029333
72996,70414,NA,2006-07-18,translocation,080047783
72996,70414,NA,2006-07-18,translocation,091549862
72996,70414,NA,2006-07-18,translocation,091109549
72996,70414,NA,2006-07-18,translocation,091015595
72996,70414,NA,2006-07-18,translocation,091355322
72996,70414,NA,2006-07-18,translocation,091362526
72996,70414,NA,2006-07-18,translocation,091586097
72996,70414,NA,2006-07-18,translocation,091592889
72996,70414,NA,2006-07-18,translocation,080053099
72996,70414,NA,2006-07-18,translocation,091546090
72996,70414,NA,2006-07-18,translocation,091373305
72996,70628,NA,2020-08-05,translocation,982126058790538
10490,10486,NA,2016-08-29,translocation,NA
72996,70134,NA,2006-08-08,translocation,091024307
72996,70134,NA,2006-08-08,translocation,080050269
72996,70134,NA,2006-08-08,translocation,091058003
72996,70134,NA,2006-08-08,translocation,090867313
72996,70134,NA,2006-08-08,translocation,091528519
72996,70134,NA,2006-08-08,translocation,091124286
72996,70134,NA,2006-08-08,translocation,091529283
72996,70134,NA,2006-08-08,translocation,090852530
72996,70134,NA,2006-08-08,translocation,090876364
72996,70134,NA,2006-08-08,translocation,091106639
72996,70134,NA,2006-08-08,translocation,080054113
72996,70134,NA,2006-08-08,translocation,090894361
72996,70134,NA,2006-08-08,translocation,091557864
72996,70134,NA,2006-08-08,translocation,091022607
72996,70134,NA,2006-08-08,translocation,091059098
72996,70134,NA,2006-08-08,translocation,091358025
72996,70134,NA,2006-08-08,translocation,091530312
72996,70134,NA,2006-08-08,translocation,091104058
72996,70134,NA,2006-08-08,translocation,091567092
72996,70134,NA,2006-08-08,translocation,080055046
72996,70134,NA,2006-08-08,translocation,091034029
72996,70134,NA,2006-08-08,translocation,091581524
72996,70134,NA,2006-08-08,translocation,091007632
72996,70134,NA,2006-08-08,translocation,091523602
72996,70134,NA,2006-08-08,translocation,080051294
72996,70134,NA,2006-08-08,translocation,091585885
72996,70134,NA,2006-08-08,translocation,091558058
72996,70134,NA,2006-08-08,translocation,091592591
72996,70134,NA,2006-08-08,translocation,091024289
72996,70134,NA,2006-08-08,translocation,091593803
72996,70134,NA,2006-08-08,translocation,091572817
72996,70134,NA,2006-08-08,translocation,091536862
72996,70134,NA,2006-08-08,translocation,091382828
72996,70134,NA,2006-08-08,translocation,091602591
72996,70134,NA,2006-08-08,translocation,091603798
72996,70134,NA,2006-08-08,translocation,091516832
72996,70134,NA,2006-08-08,translocation,080048850
72996,70134,NA,2006-08-08,translocation,091525022
72996,70414,NA,2006-07-18,translocation,091538610
72996,70414,NA,2006-07-18,translocation,091106578
72996,70414,NA,2006-07-18,translocation,091556840
72996,70414,NA,2006-07-18,translocation,092789121
72996,70414,NA,2006-07-18,translocation,091522614
72996,70414,NA,2006-07-18,translocation,091554889
72996,70414,NA,2006-07-18,translocation,091283821
72996,70414,NA,2006-07-18,translocation,091292290
72996,70414,NA,2006-07-18,translocation,080054873
72996,70414,NA,2006-07-18,translocation,090893577
72996,70414,NA,2006-07-18,translocation,091576079
72996,70414,NA,2006-07-18,translocation,091552028
72996,70414,NA,2006-07-18,translocation,091594065
72996,70414,NA,2006-07-18,translocation,091582797
72996,70414,NA,2006-07-18,translocation,091347614
72996,70414,NA,2006-07-18,translocation,090887349
72996,70414,NA,2006-07-18,translocation,091513056
72996,70414,NA,2006-07-18,translocation,091598801
72996,70550,NA,2006-08-07,translocation,062374570
72996,70550,NA,2006-08-07,translocation,080045534
72996,70628,NA,2020-08-05,translocation,982126058790601
72996,70550,NA,2006-08-07,translocation,118001058990
72996,70550,NA,2006-08-07,translocation,900118001060333
72996,70505,NA,2008-07-15,translocation,985121012029973
72996,70505,NA,2008-07-15,translocation,985121012031275
72996,70505,NA,2008-07-15,translocation,985121012034712
72996,70505,NA,2008-07-15,translocation,985121012024446
72996,70505,NA,2008-07-15,translocation,985121012030430
72996,70505,NA,2008-07-15,translocation,985121012025789
72996,70505,NA,2008-07-15,translocation,985121012031001
72996,70505,NA,2008-07-15,translocation,985121012025876
72996,70505,NA,2008-07-15,translocation,985121011993027
72996,70505,NA,2008-07-15,translocation,985121012022903
72996,70505,NA,2008-07-15,translocation,985121012055247
72996,70505,NA,2008-07-15,translocation,985121012023064
72996,70505,NA,2008-07-15,translocation,985121012027934
72996,70505,NA,2008-07-15,translocation,985121012024075
72996,70505,NA,2008-07-15,translocation,985121012031889
72996,70505,NA,2008-07-15,translocation,985121012028875
72996,70505,NA,2008-07-15,translocation,985121012029294
72996,70505,NA,2008-07-15,translocation,985121012035780
72996,70505,NA,2008-07-15,translocation,985121012029339
10490,10486,NA,2016-08-29,translocation,NA
72996,70550,NA,2006-08-07,translocation,091515292
72996,70550,NA,2006-08-07,translocation,080048769
72996,70550,NA,2006-08-07,translocation,091110803
72996,70550,NA,2006-08-07,translocation,080068126
72996,70550,NA,2006-08-07,translocation,091063878
72996,70550,NA,2006-08-07,translocation,080052585
72996,70550,NA,2006-08-07,translocation,091072047
72996,70550,NA,2006-08-07,translocation,090873349
72996,70550,NA,2006-08-07,translocation,091094305
72996,70550,NA,2006-08-07,translocation,091318870
72996,70550,NA,2006-08-07,translocation,090891807
72996,70550,NA,2006-08-07,translocation,091336278
72996,70550,NA,2006-08-07,translocation,091575537
72996,70550,NA,2006-08-07,translocation,091346622
72996,70550,NA,2006-08-07,translocation,091020125
72996,70550,NA,2006-08-07,translocation,080374566
72996,70550,NA,2006-08-07,translocation,091120768
72996,70550,NA,2006-08-07,translocation,091066872
72996,70550,NA,2006-08-07,translocation,091571769
72996,70550,NA,2006-08-07,translocation,091529336
72996,70550,NA,2006-08-07,translocation,091315561
72996,70550,NA,2006-08-07,translocation,091530379
72996,70550,NA,2006-08-07,translocation,091601297
72996,70550,NA,2006-08-07,translocation,091320558
72996,70550,NA,2006-08-07,translocation,091021044
72996,70550,NA,2006-08-07,translocation,091344771
72996,70550,NA,2006-08-07,translocation,091582279
72996,70550,NA,2006-08-07,translocation,091357564
72996,70550,NA,2006-08-07,translocation,091022277
72996,70550,NA,2006-08-07,translocation,091356306
72996,70550,NA,2006-08-07,translocation,091573095
72996,70550,NA,2006-08-07,translocation,091572056
72996,70550,NA,2006-08-07,translocation,091034860
72996,70550,NA,2006-08-07,translocation,091582868
72996,70505,NA,2008-07-15,translocation,985121012029379
72996,70505,NA,2008-07-15,translocation,985153000075201
72996,70505,NA,2008-07-15,translocation,985153000075205
72996,70505,NA,2008-07-15,translocation,985153000075208
72996,70505,NA,2008-07-15,translocation,985153000075219
72996,70505,NA,2008-07-15,translocation,985153000075228
72996,70505,NA,2008-07-15,translocation,985153000075233
72996,70505,NA,2008-07-15,translocation,985153000075235
72996,70505,NA,2008-07-15,translocation,985153000075236
72996,70505,NA,2008-07-15,translocation,985153000075239
72996,70505,NA,2008-07-15,translocation,985153000075244
72996,70505,NA,2008-07-15,translocation,985153000075252
72996,70505,NA,2008-07-15,translocation,985153000075269
72996,70505,NA,2008-07-15,translocation,985153000075273
72996,70505,NA,2008-07-15,translocation,985153000075284
72996,70505,NA,2008-07-15,translocation,985153000075285
72996,70505,NA,2008-07-15,translocation,985153000075295
72996,70619,NA,2008-07-15,translocation,985121011991157
72996,70619,NA,2008-07-15,translocation,985121011986696
72996,70619,NA,2008-07-15,translocation,985121011988199
50783,50785,NA,2019-07-16,reintroduction,982126056337058
50783,50785,NA,2019-07-16,reintroduction,982000407484221
50783,50785,NA,2019-07-16,reintroduction,982126056334209
50783,50785,NA,2019-07-16,reintroduction,982126056337061
50783,50785,NA,2019-07-16,reintroduction,982126056334154
50783,50785,NA,2019-07-16,reintroduction,982126056334237
50783,50785,NA,2019-07-16,reintroduction,982126056334163
50783,50785,NA,2019-07-16,reintroduction,982126056334224
50783,50785,NA,2019-07-16,reintroduction,982126056334220
50783,50785,NA,2019-07-16,reintroduction,982000407484244
50783,50785,NA,2019-07-16,reintroduction,982126056334235
50783,50785,NA,2019-07-16,reintroduction,982126056334205
50783,50785,NA,2019-07-16,reintroduction,982126056337056
50783,50785,NA,2019-07-16,reintroduction,982126056334183
50783,50785,NA,2019-07-16,reintroduction,982000407484236
50783,50785,NA,2019-07-16,reintroduction,982126056337067
50783,50785,NA,2019-07-16,reintroduction,982126056334142
50783,50785,NA,2019-07-16,reintroduction,982126056334234
50783,50785,NA,2019-07-16,reintroduction,982126056337123
50783,50785,NA,2019-07-16,reintroduction,900067000089619
50783,50785,NA,2019-07-16,reintroduction,900067000089723
50783,50785,NA,2019-07-16,reintroduction,982126056334174
50783,50785,NA,2019-07-16,reintroduction,982126056337090
50783,50785,NA,2019-07-16,reintroduction,982126056334181
50783,50785,NA,2019-07-16,reintroduction,982126056334213
50783,50785,NA,2019-07-16,reintroduction,982000196026045
50783,50785,NA,2019-07-16,reintroduction,982126056334212
50783,50785,NA,2019-07-16,reintroduction,900067000089763
50783,50785,NA,2019-07-16,reintroduction,982126056334152
50783,50785,NA,2019-07-16,reintroduction,982126056334145
50783,50785,NA,2019-07-16,reintroduction,982126056337120
50783,50785,NA,2019-07-16,reintroduction,982126056334236
50783,50785,NA,2019-07-16,reintroduction,982126056334206
"10475,10476,10477",10277,NA,2013-09-04,reintroduction,900118001029257
50783,50785,NA,2019-07-16,reintroduction,982126056334219
50783,50785,NA,2019-07-16,reintroduction,900067000089650
50783,50785,NA,2019-07-16,reintroduction,982000196026098
50783,50785,NA,2019-07-16,reintroduction,982126056334171
50783,50785,NA,2019-07-16,reintroduction,982000407484246
50783,50785,NA,2019-07-16,reintroduction,982126056334140
50783,50785,NA,2019-07-16,reintroduction,900067000089951
50783,50785,NA,2019-07-16,reintroduction,982126056334143
50783,50785,NA,2019-07-16,reintroduction,982126056334215
50783,50785,NA,2019-07-16,reintroduction,982126056337136
50783,50785,NA,2019-07-16,reintroduction,982126056334187
50783,50785,NA,2019-07-16,reintroduction,982126056334193
50783,50785,NA,2019-07-16,reintroduction,982126056334230
50783,50785,NA,2019-07-16,reintroduction,982126056337068
50783,50785,NA,2019-07-16,reintroduction,900067000089867
50783,50785,NA,2019-07-16,reintroduction,982126056334218
50783,50785,NA,2019-07-16,reintroduction,900067000089872
50783,50785,NA,2019-07-16,reintroduction,900067000089771
50783,50785,NA,2019-07-16,reintroduction,982126056334228
50783,50785,NA,2019-07-16,reintroduction,982126056334172
50783,50785,NA,2019-07-16,reintroduction,982000407484277
50783,50785,NA,2019-07-16,reintroduction,982126056337098
50783,50785,NA,2019-07-16,reintroduction,900067000089775
50783,50785,NA,2019-07-16,reintroduction,982126056334188
50783,50785,NA,2019-07-16,reintroduction,982126056337099
50783,50785,NA,2019-07-16,reintroduction,900067000089886
50783,50785,NA,2019-07-16,reintroduction,982126056334169
50783,50785,NA,2019-07-16,reintroduction,982126056337127
50783,50785,NA,2019-07-16,reintroduction,982126056337073
50783,50785,NA,2019-07-16,reintroduction,982126056337129
50783,50785,NA,2019-07-16,reintroduction,982126056334217
50783,50785,NA,2019-07-16,reintroduction,982126056334200
50783,50785,NA,2019-07-16,reintroduction,982126056337130
50783,50785,NA,2019-07-16,reintroduction,982126056334175
50783,50785,NA,2019-07-16,reintroduction,982126056337124
50783,50785,NA,2019-07-16,reintroduction,982126056334184
50783,50785,NA,2019-07-16,reintroduction,982126056334199
50783,50785,NA,2019-07-16,reintroduction,982126056334165
50783,50785,NA,2019-07-16,reintroduction,982126056334180
50783,50785,NA,2019-07-16,reintroduction,982126056334227
72996,70134,NA,2006-08-08,translocation,091067532
84221,84235,NA,2015-06-15,reintroduction,900067000060903
84221,84235,NA,2015-06-15,reintroduction,900043000104836
84221,84235,NA,2015-06-15,reintroduction,900043000104853
84221,84235,NA,2015-06-15,reintroduction,900043000104833
84221,84235,NA,2015-06-15,reintroduction,900067000060948
84221,84235,NA,2015-06-15,reintroduction,900067000061012
84221,84235,NA,2015-06-15,reintroduction,900067000060936
84221,84235,NA,2015-06-15,reintroduction,900043000104885
84221,84235,NA,2015-06-15,reintroduction,900067000060985
84221,84235,NA,2015-06-15,reintroduction,900067000060954
84221,84235,NA,2015-06-15,reintroduction,900067000060943
84221,84235,NA,2015-06-15,reintroduction,900067000060997
84221,84235,NA,2015-06-15,reintroduction,900067000060983
84221,84235,NA,2015-06-15,reintroduction,900067000060907
84221,84235,NA,2015-06-15,reintroduction,900067000060925
84221,84235,NA,2015-06-15,reintroduction,900067000060999
84221,84235,NA,2015-06-15,reintroduction,900067000060972
84221,84235,NA,2015-06-15,reintroduction,900043000104856
72996,70619,NA,2008-07-15,translocation,985121013715395
72996,70619,NA,2008-07-15,translocation,985121011981122
72996,70619,NA,2008-07-15,translocation,985121013700755
72996,70619,NA,2008-07-15,translocation,985121012023060
72996,70619,NA,2008-07-15,translocation,985121013702881
72996,70134,NA,2006-08-08,translocation,080058318
84221,84235,NA,2015-06-15,reintroduction,900067000060989
72996,70619,NA,2008-07-15,translocation,985121013699370
72996,70619,NA,2008-07-15,translocation,985121013704817
72996,70619,NA,2008-07-15,translocation,985121012024185
72996,70619,NA,2008-07-15,translocation,985121012024211
72996,70619,NA,2008-07-15,translocation,985121013709017
72996,70619,NA,2008-07-15,translocation,985121012024601
72996,70619,NA,2008-07-15,translocation,985121013713217
72996,70619,NA,2008-07-15,translocation,985121012025837
72996,70619,NA,2008-07-15,translocation,985121012029588
